name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err
SDSS J023547.56-084919.8,2MASS J02354756-0849198,38.9482,-8.8222,1800,1.37,5.5,-3.74,0.04
GJ 1048B,HD  16270B,38.9997,-23.5223,1800,1.67,5.5,-3.57,0.03
SDSSp J023617.93+004855.0,2MASS J02361794+0048548,39.0748,0.8152,1800,0.75,5.5,-4.28,0.23
PSO J039.6352-21.7746,PSO J039.6352-21.7746,39.635,-21.7742,2400,0.81,4.0,-3.71,0.02
2MASSI J0239424-173547,SIPS J0239-1735,39.9269,-17.5965,1800,1.61,5.5,-3.6,0.02
2MASS J02411151-0326587,2MASS J02411151-0326587,40.298,-3.4497,1700,1.79,5.5,-3.61,0.1
WISE J024124.73-365328.0,WISE J024124.73-365328.0,40.3522,-36.8915,900,0.88,5.0,-5.33,0.06
LSPM J0241+2553B,LSPM J0241+2553B,40.4648,25.8958,1800,1.2,5.5,-3.86,0.03
2MASSI J0241536-124106,2MASS J02415367-1241069,40.4738,-12.6853,1800,1.17,5.5,-3.88,0.04
2MASSW J0242435+160739,2MASSW J0242435+160739,40.6815,16.1275,1800,1.27,5.5,-3.81,0.08
SDSS J024256.98+212319.6,2MASS J02425693+2123204,40.7373,21.3888,1600,1.07,5.5,-4.18,0.08
2MASSI J0243137-245329,2MASSI J0243137-245329,40.8071,-24.8917,1000,0.85,4.0,-5.18,0.06
WISE J024512.62-345047.8,WISE J024512.62-345047.8,41.3029,-34.8466,700,1.36,5.0,-5.4,0.12
PSO J041.5426+01.9456,2MASS J02461021+0156447,41.5425,1.9458,1400,0.89,4.5,-4.56,0.09
SDSS J024749.90-163112.6,2MASS J02474978-1631132,41.9576,-16.5203,1400,0.71,5.5,-4.76,0.13
BR B0246-1703,LP  771-21,42.1708,-16.8561,2600,1.22,5.0,-3.22,0.02
2MASS J0249-0557 c,2MASS J02495436-0558015,42.4766,-5.9671,1800,1.32,5.0,-3.77,0.02
TVLM 831-154910,TVLM 831-154910,42.5486,-1.8582,2700,2.1,4.5,-2.65,0.02
TVLM 831-161058,TVLM 831-161058,42.8052,0.7934,2500,1.18,4.0,-3.32,0.02
PSO J042.8405+35.3726,Null,42.8401,35.3729,2400,1.12,3.5,-3.43,0.02
TVLM 831-165166,TVLM 832-7464,42.9278,-1.0349,2800,1.23,4.0,-3.07,0.02
TVLM 832-10443,TVLM 832-10443,43.1096,0.9396,2400,1.15,3.5,-3.4,0.02
Teegarden's Star,NAME Teegarden's Star,43.2537,16.8813,2800,1.16,4.0,-3.12,0.02
PSO J043.5395+02.3995,2MASS J02540788+0223563,43.5319,2.3989,700,0.84,5.0,-5.81,0.08
DENIS-P J025503.3-470049,DENIS J025503.3-470049,43.7654,-47.0143,1500,0.64,5.5,-4.72,0.06
HIP 13589B,2MASS J02550698+2136221,43.7792,21.6062,2600,1.4,4.0,-3.09,0.03
2MASS J02572581-3105523,2MASS J02572581-3105523,44.3577,-31.0978,1500,0.7,5.5,-4.64,0.06
2MASS J03001631+2130205,2MASS J03001631+2130205,45.068,21.5057,1800,0.91,5.5,-4.11,0.12
2MASSI J0302012+135814,2MASSI J0302012+135814,45.5051,13.9706,1800,0.97,5.0,-4.04,0.06
SDSSp J030321.24-000938.2,2MASS J03032123-0009378,45.8385,-0.1606,2400,1.17,4.0,-3.38,0.1
SSSPM J0306-3648,SSSPM J0306-3648,46.5483,-36.798,2500,1.12,4.0,-3.36,0.02
2MASSW J0306268+154514,2MASSW J0306268+154514,46.612,15.7536,1700,0.61,5.0,-4.55,0.14
WISEPA J030724.57+290447.6,CWISE J030724.57+290447.2,46.8527,29.0802,1000,0.73,5.5,-5.34,0.15
WISEA J030845.36+325923.1,2MASS J03084507+3259277,47.188,32.9908,2300,0.79,5.0,-3.82,0.07
2MASSW J0309088-194938,2MASSW J0309088-194938,47.2871,-19.8275,1800,0.86,5.0,-4.16,0.15
2MASS J03101401-2756452,2MASSI J0310140-275645,47.5583,-27.946,1800,1.03,5.0,-3.99,0.15
2MASS J03140344+1603056,2MASS J03140344+1603056,48.5143,16.0515,1800,1.64,5.5,-3.58,0.02
PSO J048.9806+07.5414,2MASS J03155533+0732286,48.9804,7.5412,1800,0.69,5.5,-4.36,0.13
PSO J049.1124+17.0885,2MASS J03162679+1705193,49.1116,17.0888,1900,0.49,5.5,-4.58,0.11
2MASSI J0316451-284852,SIPS J0316-2848,49.1881,-28.8145,1800,1.6,5.5,-3.61,0.02
2MASS J03185403-3421292,2MASSI J0318540-342129,49.7253,-34.3581,1600,0.63,5.5,-4.64,0.05
2MASS J03201720-1026124,2MASS J03201720-1026124,50.0717,-10.4368,2500,1.33,4.0,-3.21,0.02
LP 412-31,LP  412-31,50.2488,18.9063,2600,1.12,5.0,-3.29,0.02
WISEA J032301.88+562558.0,2MASS J03230145+5626012,50.7568,56.4339,1700,0.7,5.0,-4.44,0.06
2MASS J03231002-4631237,2MASS J03231002-4631237,50.7917,-46.5232,1800,1.5,5.0,-3.66,0.03
2MASS J03250136+2253039,2MASSI J0325013+225303,51.2559,22.8843,1700,1.25,5.5,-3.92,0.04
WISE J032547.72+083118.2,WISE J032547.72+083118.2,51.4485,8.5218,800,1.13,3.0,-5.31,0.07
SDSS J032553.17+042540.1,2MASS J03255322+0425406,51.4718,4.4279,1100,1.0,5.5,-4.9,0.07
2MASS J03264225-2102057,2MASS J03264225-2102057,51.6761,-21.035,1600,1.07,4.0,-4.17,0.05
SDSSp J032817.38+003257.2,2MASS J03281738+0032572,52.0725,0.5492,1700,0.97,5.5,-4.15,0.17
2MASSI J0328426+230205,2MASSI J0328426+230205,52.1776,23.0348,1800,0.59,5.5,-4.49,0.11
PSO J052.2746+13.3754,2MASS J03290567+1322317,52.2736,13.3755,1200,0.88,5.0,-4.83,0.07
SDSSp J033035.13-002534.5,2MASS J03303511-0025346,52.6464,-0.4264,1800,0.95,5.5,-4.08,0.03
PSO J052.7214-03.8409,2MASS J03305326-0350280,52.7218,-3.8411,1400,0.63,3.5,-4.83,0.1
2MASS J03320043-2317496,SIPS J0332-2317,53.0019,-23.2971,2500,1.18,4.0,-3.31,0.02
LEHPM 3396,LEHPM 3396,53.5509,-49.8922,2500,0.85,4.0,-3.6,0.02
2MASSI J0335020+234235,2MASSW J0335020+234235,53.7587,23.7098,2600,3.05,4.0,-2.42,0.02
2MASS J03354535+0658058,2MASS J03354535+0658058,53.939,6.9683,2400,1.33,3.5,-3.28,0.02
WISE J033651.90+282628.8,2MASS J03365177+2826315,54.216,28.4421,1100,1.0,4.0,-4.88,0.07
2MASSW J0337036-175807,2MASSW J0337036-175807,54.2649,-17.9688,1700,1.19,4.5,-3.99,0.08
WISE J033713.43+114824.5,2MASS J03371340+1148280,54.3058,11.8078,2700,1.04,5.5,-3.26,0.03
PSO J054.8149-11.7792,2MASS J03391557-1146440,54.8149,-11.779,1800,0.94,5.0,-4.07,0.07
LP 944-20,LP  944-20,54.8969,-35.4288,1900,1.54,5.5,-3.56,0.02
PSO J055.0493-21.1704,PSO J055.0493-21.1704,55.0485,-21.1701,1300,0.81,5.5,-4.77,0.13
PSO J057.2893+15.2433,PSO J057.2893+15.2433,57.2892,15.2437,1600,1.18,3.0,-4.22,0.09
LHS 1604,LP  593-68,57.7501,-0.8791,2600,1.43,4.0,-3.08,0.02
SDSS J035104.37+481046.8,2MASS J03510423+4810477,57.7676,48.1799,1800,0.58,5.0,-4.45,0.12
YU-29133_55877,Gaia DR3 231029348869153664,58.0036,41.7957,1800,3.16,5.5,-3.01,0.04
2MASS J03521086+0210479,2MASS J03521086+0210479,58.0453,2.18,2400,0.95,3.5,-3.58,0.02
SDSS J035308.54+103056.0,2MASS J03530845+1030564,58.2853,10.5157,1800,1.4,5.5,-3.72,0.04
2MASS J03540135+2316339,LSPM J0354+2316,58.5058,23.2761,2500,1.34,4.0,-3.21,0.02
2MASSW J0355419+225702,2MASS J03554191+2257016,58.9247,22.9505,1800,0.69,5.0,-4.35,0.18
2MASS J04012977-4050448,2MASS J04012977-4050448,60.3741,-40.8458,1800,2.15,5.5,-3.34,0.02
WISE J040137.21+284951.7,2MASS J04013766+2849529,60.4066,28.8313,1800,1.03,5.5,-4.0,0.02
WISE J040418.01+412735.6,2MASS J04041807+4127398,61.0753,41.461,1700,1.15,5.5,-4.0,0.03
2MASS J04062677-3812102,2MASS J04062677-3812102,61.6115,-38.2028,1700,1.7,5.5,-3.67,0.23
2MASS J04070752+1546457,2MASS J04070752+1546457,61.7814,15.7793,1700,1.49,4.5,-3.79,0.05
2MASS J04070885+1514565,2MASS J04070885+1514565,61.7866,15.2491,1100,0.91,4.5,-4.97,0.05
2MASS J04081032+0742494,2MASS J04081032+0742494,62.043,7.7137,2500,1.3,4.0,-3.23,0.02
2MASSI J0408290-145033,SIPS J0408-1450,62.1211,-14.8427,1800,1.21,5.5,-3.85,0.02
