name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
SDSS J164916.89+464340.0,SDSS J164916.89+464340.0,252.3203,46.7277,1351,67,1.32,0.1,11.59,9.98,4.32,0.24
WISEPA J165311.05+444423.9,WISE J165311.05+444422.8,253.2963,44.7408,649,42,1.11,0.14,12.9,13.48,4.44,0.47
SDSS J165329.69+623136.5,2MASS J16532970+6231364,253.3737,62.5268,1802,90,1.41,0.14,18.03,12.19,4.37,0.28
SDSS J165450.79+374714.6,2MASS J16545081+3747141,253.7116,37.7874,2160,197,1.01,0.18,66.4,24.23,5.22,0.39
vB 8,VB  8,253.8969,-8.3947,2324,147,1.52,0.19,28.94,17.95,4.51,0.34
SDSS J165850.26+182000.6,2MASS J16585033+1819597,254.7096,18.3334,2217,202,1.03,0.19,68.05,24.61,5.22,0.39
PSO J255.0913+10.3263,Null,255.0914,10.3264,1173,67,1.35,0.08,9.34,4.31,4.12,0.21
SDSS J170316.71+190636.0,2MASS J17031672+1906359,255.8197,19.11,2465,210,1.09,0.18,79.09,26.12,5.24,0.38
DENIS-P J170548.38-051645.7,2MASS J17054834-0516462,256.4514,-5.2795,1867,91,1.42,0.14,19.05,11.58,4.39,0.27
DENIS J1707252-013809,2MASS J17072529-0138093,256.8554,-1.636,2418,205,1.06,0.18,78.99,25.18,5.26,0.37
2MASSI J1707333+430130,2MASS J17073334+4301304,256.8889,43.0251,1904,94,1.44,0.14,19.18,12.94,4.38,0.28
SDSS J171049.35+332325.2,2MASS J17104936+3323251,257.7056,33.3903,2249,202,1.03,0.18,70.43,24.64,5.24,0.38
2MASS J17111353+2326333,2MASSI J1711135+232633,257.8063,23.4426,1953,104,1.43,0.15,20.37,12.47,4.41,0.29
2MASS J17114559+4028578,G 203-50B,257.9401,40.4827,1636,13,0.9,0.01,71.29,3.15,5.36,0.03
2MASSI J1711457+223204,2MASSI J1711457+223204,257.9405,22.5345,1162,56,1.34,0.09,9.37,8.29,4.13,0.26
NLTT 44368B,2MASS J17115739+5430405,257.989,54.5113,2385,36,1.01,0.03,84.73,6.67,5.33,0.06
PSO J258.2413+06.7612,2MASS J17125805+0645416,258.2421,6.7616,1351,113,1.06,0.17,37.71,24.11,4.94,0.49
2MASS J17164260+2945536,2MASS J17164260+2945536,259.1775,29.7649,1847,183,1.04,0.2,60.53,24.4,5.16,0.43
SDSS J171714.10+652622.2,2MASS J17171408+6526221,259.3086,65.4395,1723,168,1.05,0.2,55.41,24.12,5.11,0.44
LSPM J1717+5925B,2MASS J17173107+5925318,259.3792,59.4254,2595,39,1.11,0.03,92.26,8.1,5.29,0.07
PSO J260.1623+61.7636,PSO J260.1623+61.7636,260.1621,61.763,1185,99,1.07,0.17,26.95,21.82,4.79,0.49
PSO J260.1789+15.3091,Gaia DR2 4543541311397087872,260.179,15.3093,1887,87,1.44,0.12,18.51,8.63,4.36,0.24
2MASSI J1721039+334415,2MASSI J1721039+334415,260.2651,33.738,1802,174,1.04,0.2,59.31,24.11,5.15,0.43
PSO J260.3363+46.6739,2MASS J17212065+4640286,260.3361,46.6747,1239,107,1.07,0.17,29.46,22.94,4.83,0.49
WISE J172134.46+111739.4,2MASS J17213449+1117379,260.3939,11.2939,926,73,1.07,0.17,20.27,18.23,4.66,0.51
SDSS J172244.32+632946.8,2MASS J17224432+6329470,260.6847,63.4963,2441,209,1.07,0.18,80.3,25.92,5.26,0.37
PSO J261.2881+22.9269,PSO J261.2881+22.9269,261.2882,22.9269,1025,87,1.07,0.17,22.76,19.53,4.71,0.5
SDSS J172543.84+532534.9,2MASS J17254383+5325347,261.4327,53.4264,2675,219,1.18,0.19,94.36,28.13,5.25,0.37
2MASSI J1726000+153819,2MASSI J1726000+153819,261.5003,15.6386,1592,85,1.46,0.15,16.65,10.96,4.3,0.31
HIP 85365B,2MASS J17262235-0502110,261.5931,-5.0364,1580,10,0.93,0.01,69.66,0.88,5.32,0.01
WISEPA J172844.93+571643.6,WISE J172844.93+571642.7,262.1869,57.2782,804,60,1.09,0.16,16.78,16.78,4.57,0.51
WISE J173035.99+420742.5,WISE J173035.99+420742.5,262.6504,42.1292,1241,106,1.07,0.17,29.48,22.8,4.83,0.49
SDSS J173101.41+531047.9,2MASS J17310140+5310476,262.7559,53.18,1276,61,1.38,0.1,11.03,9.8,4.17,0.27
2MASS J17312974+2721233,LSPM J1731+2721,262.8739,27.3565,2134,18,1.18,0.02,43.83,2.55,4.91,0.04
2MASS J17320014+2656228,2MASS J17320014+2656228,263.0006,26.9397,1848,96,1.42,0.14,18.62,12.11,4.37,0.28
WISE J173332.50+314458.3,2MASS J17333281+3144571,263.3865,31.7493,1711,167,1.04,0.2,56.24,23.97,5.13,0.44
DENIS-P J1733423-165449,DENIS J173342.3-165449,263.4261,-16.9139,2022,192,1.0,0.19,61.82,23.84,5.2,0.4
WISE J173421.02+502349.9,2MASS J17342109+5023472,263.5883,50.3966,1097,91,1.07,0.17,24.26,20.26,4.74,0.5
2MASS J17343053-1151388,2MASS J17343053-1151388,263.6272,-11.8608,1991,101,1.46,0.15,19.82,13.91,4.38,0.29
2MASS J17373467+5953434,2MASS J17373467+5953434,264.3944,59.8954,1526,145,1.05,0.19,46.86,24.38,5.04,0.47
WISE J173859.27+614242.1,WISE J173859.27+614242.1,264.7468,61.711,1102,91,1.07,0.17,24.28,20.3,4.74,0.49
2MASS J17392515+2454421,2MASS J17392515+2454421,264.8548,24.9118,1313,45,1.41,0.09,11.58,9.18,4.32,0.24
PSO J265.0759+11.4855,PSO J265.0759+11.4855,265.0762,11.4857,1197,101,1.07,0.17,27.44,22.16,4.8,0.49
WISE J174102.78-464225.5,2MASS J17410280-4642218,265.2615,-46.7059,1477,29,1.17,0.02,28.41,2.68,4.73,0.05
WISE J174113.12+132711.9,WISE J174113.12+132711.9,265.3049,13.4539,1132,94,1.07,0.17,25.26,20.8,4.76,0.49
WISEPA J174124.26+255319.5,WISEP J174124.25+255319.5,265.3522,25.893,483,24,1.12,0.11,9.42,9.01,4.29,0.41
WISE J174303.71+421150.0,2MASS J17430367+4211558,265.7654,42.1988,1010,82,1.07,0.17,22.08,19.09,4.7,0.5
WISEA J174336.62+154901.3,2MASS J17433635+1549025,265.9017,15.8173,2129,194,1.01,0.18,64.63,24.15,5.21,0.39
2MASSW J1743415+212707,2MASSW J1743415+212707,265.9229,21.452,1703,165,1.04,0.2,55.73,23.89,5.12,0.44
DENIS-P J1745346-164053,DENIS J174534.6-164053,266.3944,-16.6817,2023,194,1.01,0.19,61.6,24.13,5.2,0.41
2MASS J17461199+5034036,2MASS J17461199+5034036,266.5499,50.5676,1373,52,1.33,0.1,11.74,10.24,4.32,0.25
SDSS J175024.01+422237.8,2MASS J17502385+4222373,267.5993,42.3771,1361,33,1.06,0.01,38.93,6.34,4.96,0.08
2MASS J17502484-0016151,2MASS J17502484-0016151,267.6034,-0.2708,1368,51,1.33,0.1,11.62,9.88,4.32,0.24
SDSSp J175032.96+175903.9,2MASS J17503293+1759042,267.6372,17.9844,1046,86,1.07,0.17,23.06,19.46,4.72,0.5
2MASS J17545447+1649196,2MASS J17545447+1649196,268.726,16.8221,934,74,1.07,0.17,20.53,18.39,4.67,0.51
WISE J175510.28+180320.2,2MASS J17551062+1803203,268.7941,18.0556,1116,91,1.06,0.17,24.78,20.46,4.75,0.49
SDSS J175805.46+463311.9,SDSS J175805.46+463311.9,269.5227,46.5531,898,26,0.99,0.05,28.13,7.04,4.87,0.16
2MASS J18000116-1559235,2MASS J18000116-1559235,270.0049,-15.99,1748,172,1.04,0.2,57.53,24.27,5.14,0.44
WISEP J180026.60+013453.1,WISEP J180026.60+013453.1,270.1103,1.5825,1201,97,1.07,0.17,27.05,21.86,4.79,0.49
2MASSI J1807159+501531,2MASS J18071593+5015316,271.8164,50.2588,1810,89,1.41,0.14,18.14,11.74,4.37,0.27
PSO J271.8353+46.9326,LSPM J1807+4655,271.8357,46.9331,2802,118,1.7,0.14,69.07,24.41,4.79,0.22
PSO J272.0887-04.9943,PSO J272.0887-04.9943,272.0885,-4.994,989,80,1.07,0.17,21.63,18.89,4.69,0.5
WISE J180901.07+383805.4,WISE J180901.07+383805.4,272.2566,38.6363,725,50,1.1,0.15,14.49,15.33,4.49,0.49
2MASS J18131803+5101246,2MASS J18131803+5101246,273.325,51.0236,1428,80,1.35,0.12,12.29,10.65,4.31,0.26
WISE J181329.40+283533.3,WISE J181329.40+283533.3,273.373,28.5935,682,45,1.1,0.14,13.46,14.23,4.46,0.48
PSO J274.0908+30.5470,PSO J274.0908+30.5470,274.0908,30.5476,1016,84,1.07,0.17,22.41,19.25,4.71,0.5
2MASS J18212815+1414010,2MASS J18212815+1414010,275.3673,14.2336,1391,52,1.35,0.1,14.31,9.99,4.31,0.24
PSO J276.8234+22.4380,2MASS J18271757+2226167,276.8232,22.438,1565,150,1.05,0.19,49.25,24.34,5.06,0.46
2MASS J18283572-4849046,2MASS J18283572-4849046,277.1488,-48.8179,985,79,1.07,0.17,21.67,18.93,4.69,0.5
PSO J277.3873+26.0116,2MASS J18293277+2600424,277.3865,26.0118,1569,74,1.42,0.13,14.56,11.1,4.27,0.28
WISEPA J183058.57+454257.9,PSO J277.7441+45.7160,277.7436,45.7156,1180,100,1.06,0.17,26.97,21.82,4.79,0.49
PSO J279.6187+11.6036,Null,279.6186,11.6041,2369,149,1.52,0.19,32.22,18.56,4.56,0.34
PSO J281.4296+04.2296,Null,281.4295,4.2296,2154,111,1.33,0.14,32.52,13.22,4.68,0.27
PSO J282.5878+34.7691,2MASS J18502104+3446088,282.5878,34.7691,1981,208,1.05,0.2,65.83,24.81,5.19,0.42
WISE J185101.83+593508.6,2MASS J18510178+5935040,282.7574,59.5845,1579,148,1.04,0.2,50.4,24.09,5.08,0.46
WISEPA J185215.78+353716.3,2MASS J18521552+3537196,283.0649,35.6221,759,54,1.1,0.16,15.41,16.0,4.52,0.5
PSO J284.7214+39.3189,PSO J284.7214+39.3189,284.7214,39.3185,1023,86,1.07,0.17,22.42,19.4,4.71,0.5
2MASS J19010601+4718136,2MASS J19010601+4718136,285.2752,47.304,961,77,1.07,0.17,21.03,18.83,4.68,0.51
WISEPA J190624.75+450808.2,2MASS J19062476+4508112,286.6031,45.1362,868,67,1.08,0.17,18.61,17.75,4.62,0.51
WISEP J190648.47+401106.8,2MASS J19064801+4011089,286.7003,40.1857,2201,202,1.02,0.19,67.94,24.51,5.23,0.39
2MASS J19163888-3700026,2MASS J19163888-3700026,289.1621,-37.0007,1756,91,1.43,0.14,17.11,12.17,4.34,0.28
vB 10,VB 10,289.2401,5.1504,2162,123,1.55,0.18,20.76,16.36,4.35,0.33
WISE J191915.54+304558.4,2MASS J19191519+3045536,289.8134,30.7651,1225,98,1.07,0.17,27.94,22.35,4.8,0.49
PSO J291.2688+68.5310,2MASS J19250500+6831527,291.2722,68.5311,1263,107,1.07,0.17,30.63,23.09,4.84,0.49
WISE J192841.35+235604.9,2MASS J19284155+2356016,292.1729,23.9339,923,72,1.08,0.17,19.88,18.38,4.65,0.51
2MASS J19285196-4356256,2MASS J19285196-4356256,292.2166,-43.9404,1576,75,1.43,0.13,14.57,11.14,4.27,0.28
2MASS J19355595-2846343,2MASS J19355595-2846343,293.9832,-28.7762,2537,52,1.83,0.07,33.13,5.09,4.41,0.11
WISEA J194128.98-342335.8,2MASS J19412871-3423298,295.3698,-34.3918,2435,212,1.07,0.19,79.09,26.11,5.26,0.38
2MASS J19415458+6826021,2MASS J19415458+6826021,295.4772,68.4339,1666,85,1.43,0.14,15.41,11.48,4.29,0.28
2MASS J19495702+6222440,2MASS J19495702+6222440,297.4876,62.3789,1660,86,1.43,0.14,15.38,11.93,4.29,0.29
WISE J195113.62-331116.7,2MASS J19511353-3311126,297.8064,-33.1869,1868,183,1.04,0.2,62.54,24.31,5.18,0.42
WISEA J195311.04-022954.7,WISE J195311.04-022954.7,298.2965,-2.4974,1826,180,1.04,0.2,60.12,24.28,5.16,0.43
2MASS J19561542-1754252,2MASS J19561542-1754252,299.0643,-17.907,2542,221,1.11,0.19,84.42,27.14,5.25,0.38
PSO J299.5032+55.0722,Gaia DR2 2233867878549277312,299.5027,55.0722,2357,133,1.38,0.16,39.42,16.59,4.73,0.3
WISEPA J195905.66-333833.7,2MASS J19590564-3338314,299.7734,-33.6421,664,43,1.1,0.14,13.29,13.86,4.45,0.47
WISE J200050.19+362950.1,2MASS J20005017+3629465,300.2088,36.4961,693,46,1.1,0.15,13.93,14.61,4.47,0.48
2MASS J20025073-0521524,2MASSI J2002507-052152,300.7113,-5.3646,1283,42,1.37,0.09,11.4,6.68,4.2,0.26
WISE J200804.71-083428.5,2MASS J20080450-0834266,302.0188,-8.5742,899,71,1.07,0.17,19.71,18.18,4.65,0.51
DENIS J2013108-124244,2MASS J20131084-1242452,303.2951,-12.7126,2466,211,1.09,0.18,80.45,26.21,5.25,0.38
2MASS J20135152-2806020,2MASS J20135152-2806020,303.4647,-28.1006,2206,35,1.74,0.05,16.82,2.38,4.16,0.08
PSO J304.7573-07.2350,2MASS J20190178-0714067,304.7572,-7.2351,2281,210,1.05,0.19,71.77,25.13,5.24,0.39
