NAME,RA,DEC,LIT_SPT,Discovery Ref.,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
LSPM J1425+7102,216.271,71.036,sdM8,Lépine et al. 2013,,,,,2947.002,2938.393,2979.516,5.319,5.239,5.332,-1.132,-1.166,-1.028
LHS 2924,217.180,33.178,sdM9,Boeshaar et al. 1985,2500.000,5.000,,Gagné et al. 2015,,,,,,,,,
2MASS J14313097+1436539,217.879,14.615,sdL1,Sheppard et al. 2009,,,,,,,,,,,,,
ULAS J143154.18-004114.3,217.976,-0.687,sdM9,Zhang et al. 2018c,,,,,,,,,,,,,
2MASS J14343616+2202463,218.651,22.046,sdM9,Sheppard et al. 2009,,,,,,,,,,,,,
2MASS J14351706-0147115,218.821,-1.787,sdM9,Zhang et al. 2018c,,,,,,,,,,,,,
SDSS J143645.25+310914.7,219.189,31.154,esdM7,Lépine et al. 2008,,,,,,,,,,,,,
LHS 377,219.751,18.661,sdM7,Kesseli et al. 2019,3000.000,-2.993,,Kesseli et al. 2019,,,,,,,,,
2MASS J14394298-1100430,219.929,-11.012,sdL1,Greco et al. 2019,,,,,,,,,,,,,
2MASS J14405684-2225149,220.237,-22.421,sdM8.5,Greco et al. 2019,,,,,2864.354,2858.209,2872.653,5.125,5.114,5.137,-0.180,-0.220,-0.138
BRLT 253,220.465,4.627,sdL4,Zhang et al. 2018c,,,,,,,,,,,,,
SSSPM J1444-2019,221.085,-20.324,sdL0,Kirkpatrick et al. 2016,,,,,,,,,,,,,
ULAS J145234.65+043738.4,223.144,4.627,esdL0.5,Zhang et al. 2018c,,,,,,,,,,,,,
SDSS J145255.58+272324.4,223.232,27.390,sdL1,Schmidt et al. 2010,,,,,,,,,,,,,
ULAS J150457.65+053800.8,226.240,5.634,sdT5.5,Zhang et al. 2019,965.000,5.200,-0.300,Burningham et al. 2013,,,,,,,,,
SIPS J1512-0112,228.074,-1.210,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
BRLT 283,229.208,8.602,sdL5,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J151913.03-000030.0,229.804,-0.008,esdL4,Zhang et al. 2017a,,,,,,,,,,,,,
WISE J152434.49+002057.5,231.144,0.349,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J153037.83+495205.7,232.658,49.868,sdM7,Lépine et al. 2008,,,,,,,,,,,,,
2MASS J15412408+5425598,235.350,54.433,sdM7.5,Burgasser et al. 2004,,,,,,,,,,,,,
ULAS J154638.34-011213.0,236.660,-1.204,sdL3,Zhang et al. 2018c,,,,,,,,,,,,,
2MASS J15522538+0951585,238.106,9.866,sdM7,Greco et al. 2019,,,,,,,,,,,,,
WISE J155349.98+693355.2,238.458,69.565,sdT3,Meisner et al. 2021,1200.000,5.000,-0.500,Meisner et al. 2021,,,,,,,,,
2MASS J15561873+1300527,239.078,13.015,sdM8,West et al. 2011,,,,,,,,,,,,,
SDSS J155707.09+283531.5,239.280,28.592,usdM7,Adelman-McCarthy et al. 2008,,,,,,,,,,,,,
2MASS J16141954-8151154,243.582,-81.854,usdM9,Kirkpatrick et al. 2016,,,,,3001.108,3000.109,3019.284,5.313,5.286,5.320,-1.054,-1.078,-0.969
2MASS J16262034+3925190,246.584,39.422,usdL4,Zhang et al. 2013,,,,,,,,,,,,,
2MASS J16403197+1231068,250.133,12.518,esdL0,Burgasser et al. 2004,,,,,,,,,,,,,
2MASS J16403561+2922225,250.148,29.373,sdM8,Burgasser et al. 2004,,,,,,,,,,,,,
