code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Phan01,2001A&A...380..590P,PhanBao:2001ij,Phan-Bao et al. (2001),New neighbours: IV. 30 DENIS late-M dwarfs between 15 and 30 parsecs
Phan03,2003A&A...401..959P,PhanBao:2003gr,Phan-Bao et al. (2003),New neighbours. V. 35 DENIS late-M dwarfs between 10 and 30 parsecs
Phan06a,2006A&A...446..515P,PhanBao:2006bg,Phan-Bao & Bessell (2006),Spectroscopic distances of nearby ultracool dwarfs
Phan06b,2006MNRAS.366L..40P,PhanBao:2006ev,Phan-Bao et al. (2006a),Discovery of a nearby M9 dwarf
Phan08a,2008MNRAS.383..831P,PhanBao:2008kz,Phan-Bao et al. (2008a),Discovery of new nearby L and late-M dwarfs at low Galactic latitude from the DENIS data base
Phan11b,2011AN....332..668P,PhanBao:2011cb,Phan-Bao (2011),Maximum Reduced Proper Motion method: Detection of new nearby ultracool dwarfs
Pine16,2016ApJ...826...73P,Pineda:2016ku,Pineda et al. (2016),A Survey for H{ensuremath{alpha}} Emission from Late L Dwarfs and T Dwarfs
Pinf08,2008MNRAS.390..304P,Pinfield:2008jx,Pinfield et al. (2008),Fifteen new T dwarfs discovered in the UKIDSS Large Area Survey
Pinf12,2012MNRAS.422.1922P,Pinfield:2012hm,Pinfield et al. (2012),Discovery of the benchmark metal-poor T8 dwarf BD +01{textdegree} 2920B
Pinf14a,2014MNRAS.437.1009P,Pinfield:2014fj,Pinfield et al. (2014a),A deep WISE search for very late type objects and the discovery of two halo/thick-disc T dwarfs: WISE 0013+0634 and WISE 0833+0052
Pinf14b,2014MNRAS.444.1931P,Pinfield:2014fs,Pinfield et al. (2014b),Discovery of a new Y dwarf: WISE J030449.03-270508.3
Poko03,2003A&A...397..575P,Pokorny:2003kt,Pokorny Jones & Hambly (2003),The Liverpool-Edinburgh high proper motion survey
Poko04,2004A&A...421..763P,Pokorny:2004fd,Pokorny et al. (2004),The Liverpool-Edinburgh high proper motion catalogue
Pope13,2013ApJ...767..110P,Pope:2013ed,Pope Martinache & Tuthill (2013),Dancing in the Dark: New Brown Dwarf Binaries from Kernel Phase Interferometry
Pott02,2002ApJ...567L.133P,Potter:2002ie,Potter et al. (2002),Hokupa'a-Gemini Discovery of Two Ultracool Companions to the Young Star HD 130948
Prav05,2005ApJ...630..528P,Pravdo:2005kt,Pravdo Shaklan & Lloyd (2005),Astrometric Discovery of GJ 802b: In the Brown Dwarf Oasis?
Prob83c,1983ApJ...274..245P,Probst:1983fy,Probst & Liebert (1983),LHS 2924 : A uniquely cool low-luminosity star with a peculiar energydistribution.
Qi__15,2015AJ....150..137Q,Qi:2015kr,Qi et al. (2015),Absolute Proper Motions Outside the Plane (APOP)&amp;mdashA Step Toward the GSC2.4
Radi08,2008ApJ...689..471R,Radigan:2008jd,Radigan et al. (2008),Discovery of a Wide Substellar Companion to a Nearby Low-Mass Star
Radi12,2012ApJ...750..105R,Radigan:2012ki,Radigan et al. (2012),"Large-amplitude Variations of an L/T Transition Brown Dwarf: Multi-wavelength Observations of Patchy, High-contrast Cloud Features"
Radi13,2013ApJ...778...36R,Radigan:2013cv,Radigan et al. (2013),Discovery of a Visual T-dwarf Triple System and Binarity at the L/T Transition
Raja17,2017AJ....154...10R,Rajan:2017hq,Rajan et al. (2017),Characterizing 51 Eri b from 1 to 5 {ensuremath{mu}}m: A Partly Cloudy Exoplanet
Rajp12,2012A&A...545A..85R,Rajpurohit:2012ef,Rajpurohit et al. (2012),The very low mass multiple system LHS 1070. A testbed for model atmospheres for the lower end of the main sequence
Rame13a,2013ApJ...772L..15R,Rameau:2013dr,Rameau et al. (2013),Discovery of a Probable 4-5 Jupiter-mass Exoplanet to HD 95086 by Direct Imaging
Rams15b,2015MNRAS.453.1484R,Ramsay:2015vv,Ramsay Hakala & Doyle (2015),Searching for I-band variability in stars in the M/L spectral transition region
Rebo98,1998Sci...282.1309R,Rebolo:1998el,Rebolo et al. (1998),Discovery of a Low-Mass Brown Dwarf Companion of the Young Nearby Star G 196-3
Reid00a,2000AJ....119..369R,Reid:2000iw,Reid et al. (2000),Four Nearby L Dwarfs
Reid01a,2001AJ....121..489R,Reid:2001ch,Reid et al. (2001a),A Search for L Dwarf Binary Systems
Reid02a,2002AJ....123..466R,Reid:2002fh,Reid & Cruz (2002a),5 Micron Photometry of Late-Type Dwarfs
Reid02c,2002AJ....123.2806R,Reid:2002bt,Reid & Cruz (2002b),Meeting the Cool Neighbors. I. Nearby Stars in the NLTT Catalogue: Defining the Sample
Reid02f,2002AJ....124..519R,Reid:2002ep,Reid et al. (2002),High-Resolution Spectroscopy of Ultracool M Dwarfs
Reid03a,2003AJ....125..354R,Reid:2003cz,Reid et al. (2003a),"Meeting the Cool Neighbors. IV. 2MASS 1835+32, a Newly Discovered M8.5 Dwarf within 6 Parsecs of the Sun"
Reid03b,2003AJ....126.2449R,Reid:2003kx,Reid (2003),Meeting the Cool Neighbors. VI. A Search for Nearby Ultracool Dwarfs in the Galactic Plane
Reid03c,2003AJ....126.3007R,Reid:2003hw,Reid et al. (2003b),Meeting the Cool Neighbors. VII. Spectroscopy of Faint Red NLTT Dwarfs
Reid04,2004AJ....128..463R,Reid:2004be,Reid et al. (2004),Meeting the Cool Neighbors. VIII. A Preliminary 20 Parsec Census from the NLTT Catalogue
Reid05b,2005PASP..117..676R,Reid:2005bm,Reid & Gizis (2005),Probing the LHS Catalog. II. Faint Proper-Motion Stars
Reid06a,2006ApJ...639.1114R,Reid:2006da,Reid et al. (2006a),2MASS J22521073-1730134: A Resolved L/T Binary at 14 Parsecs
Reid06b,2006AJ....132..891R,Reid:2006dy,Reid et al. (2006b),A Search for Binary Systems among the Nearest L Dwarfs
Reid06c,2006PASP..118..671R,Reid:2006eg,Reid & Walkowicz (2006),"LP 261-75/2MASSW J09510549+3558021: A Young, Wide M4.5/L6 Binary"
Reid07,2007AJ....133.2825R,Reid:2007gl,Reid Cruz & Allen (2007),Meeting the Cool Neighbors. XI. Beyond the NLTT Catalog
Reid08a,2008AJ....135..580R,Reid:2008gr,Reid et al. (2008a),L-Dwarf Binaries in the 20-Parsec Sample
Reid08b,2008AJ....136.1290R,Reid:2008fz,Reid et al. (2008b),Meeting the Cool Neighbors. X. Ultracool Dwarfs from the 2MASS All-Sky Data Release
Reid81,1981MNRAS.196p..15R,Reid:1981hd,Reid & Gilmore (1981),A star of very low luminosity.
Reid95,1995AJ....110.1838R,Reid:1995kw,Reid Hawley & Gizis (1995),The Palomar/MSU Nearby-Star Spectroscopic Survey. I. The Northern M Dwarfs -Bandstrengths and Kinematics
Rein06b,2006AJ....131.1806R,Reiners:2006ey,Reiners & Basri (2006a),The First High-Resolution Spectra of 1.3 L Subdwarfs
Rein09f,2009ApJ...705.1416R,Reiners:2009kd,Reiners & Basri (2009b),"A Volume-Limited Sample of 63 M7-M9.5 Dwarfs. I. Space Motion, Kinematic Age, and Lithium"
Rein10c,2010A&A...513L...9R,Reiners:2010ic,Reiners Seifahrt & Dreizler (2010),Discovery of a nearby young brown dwarf binary candidate
Reyl04,2004A&A...421..643R,Reyle:2004hn,Reylé & Robin (2004),New nearby stars in the Liverpool-Edinburgh high proper motion survey selected by DENIS photometry
Reyl06,2006MNRAS.373..705R,Reyle:2006bh,Reylé et al. (2006),Optical spectroscopy of high proper motion stars: new M dwarfs within 10 pc and the closest pair of subdwarfs
Reyl10,2010A&A...522A.112R,Reyle:2010gq,Reylé et al. (2010),The ultracool-field dwarf luminosity-function and space density from the Canada-France Brown Dwarf Survey
Reyl14,2014A&A...561A..66R,Reyle:2014hz,Reylé et al. (2014),CFBDS J111807-064016: A new L/T transition brown dwarf in a binary system
Reyl18,2018A&A...619L...8R,Reyle:2018jc,Reylé (2018),New ultra-cool and brown dwarf candidates in Gaia DR2
Riaz06a,2006ApJ...639L..79R,Riaz:2006eh,Riaz Gizis & Hmiel (2006),Spitzer Observations of Two TW Hydrae Association Brown Dwarfs
Riaz06b,2006AJ....132..866R,Riaz:2006du,Riaz Gizis & Harvin (2006),Identification of New M Dwarfs in the Solar Neighborhood
Riaz08,2008ApJ...681.1584R,Riaz:2008iv,Riaz & Gizis (2008),New Brown Dwarf Disks in the TW Hydrae Association
Rice10a,2010ApJS..186...63R,Rice:2010dy,Rice et al. (2010),Physical Properties of Young Brown Dwarfs and Very Low Mass Stars Inferred from High-resolution Model Spectra
Rice10b,2010ApJ...715L.165R,Rice:2010ke,Rice Faherty & Cruz (2010),The Lowest-mass Member of the {ensuremath{beta}} Pictoris Moving Group
Ried14,2014AJ....147...85R,Riedel:2014ce,Riedel et al. (2014),The Solar Neighborhood. XXXIII. Parallax Results from the CTIOPI 0.9 m Program: Trigonometric Parallaxes of Nearby Low-mass Active and Young Systems
Robe16,2016ApJ...830..144R,Robert:2016gh,Robert et al. (2016),A Brown Dwarf Census from the SIMP Survey
Rode18,2018A&A...618A..23R,Rodet:2018jo,Rodet et al. (2018),Dynamical masses of M-dwarf binaries in young moving groups. I. The case of TWA 22 and GJ 2060
Rodo80,1980AJ.....85..298R,Rodono:1980fc,Rodonò Ciatti & Vittone (1980),G 208- 44/45 : another double flare star ?
Rodr13,2013ApJ...774..101R,Rodriguez:2013fv,Rodriguez et al. (2013),The GALEX Nearby Young-Star Survey
Roes10b,2010AJ....139.2440R,Roeser:2010cr,Roeser Demleitner & Schilbach (2010),The PPMXL Catalog of Positions and Proper Motions on the ICRS. Combining USNO-B1.0 and the Two Micron All Sky Survey (2MASS)
Ross26,1926AJ.....36..124R,Ross:1926fn,Ross (1926),"New proper-motion stars, (second list)"
Rout12,2012ApJ...747L..22R,Route:2012cx,Route & Wolszczan (2012),The Arecibo Detection of the Coolest Radio-flaring Brown Dwarf
Ruiz01a,2001ApJS..133..119R,Ruiz:2001hv,Ruiz et al. (2001a),Cal{'a}n-ESO Proper-Motion Catalog
Ruiz91,1991ApJ...367L..59R,Ruiz:1991ja,Ruiz Takamiya & Roth (1991),ESO 207-61: A Brown Dwarf Candidate in the Hyades Moving Group
Ruiz97,1997ApJ...491L.107R,Ruiz:1997cw,Ruiz Leggett & Allard (1997),Kelu-1 : A Free-floating Brown Dwarf in the Solar Neighborhood
Sahl13,2013A&A...556A.133S,Sahlmann:2013ky,Sahlmann et al. (2013),Astrometric orbit of a low-mass companion to an ultracool dwarf
Sahl14,2014A&A...565A..20S,Sahlmann:2014hu,Sahlmann et al. (2014),"Astrometric planet search around southern ultracool dwarfs. I. First results, including parallaxes of 20 M8-L2 dwarfs"
Sahl15b,2015A&A...577A..15S,Sahlmann:2015ku,Sahlmann et al. (2015a),Astrometric planet search around southern ultracool dwarfs. III. Discovery of a brown dwarf in a 3-year orbit around DE0630-18
Sahl15c,2015A&A...579A..61S,Sahlmann:2015ip,Sahlmann et al. (2015b),DE0823-49 is a juvenile binary brown dwarf at 20.7 pc
Sahl15d,2015MNRAS.453L.103S,Sahlmann:2015jt,Sahlmann & Lazorenko (2015),Mass ratio of the 2 pc binary brown dwarf LUH 16 and limits on planetary companions from astrometry
Sahl16,2016MNRAS.455..357S,Sahlmann:2016iy,Sahlmann et al. (2016),Parallax of the L4.5 dwarf 2M1821+14 from high-precision astrometry with OSIRIS at GTC
Sahl20,2020MNRAS.495.1136S,Sahlmann:2020gy,Sahlmann et al. (2020),Astrometric orbits of spectral binary brown dwarfs I: Massive T dwarf companions to 2M1059 $-$21 and 2M0805 $+ $48
Sali03a,2003ApJ...582.1011S,Salim:2003gv,Salim & Gould (2003),Improved Astrometry and Photometry for the Luyten Catalog. II. Faint Stars and the Revised Catalog
Sali03b,2003ApJ...586L.149S,Salim:2003eg,Salim et al. (2003),LSR 0602+3910: Discovery of a Bright Nearby L-Type Brown Dwarf
Sall15,2015Natur.527..342S,Sallum:2015ej,Sallum et al. (2015),Accreting protoplanets in the LkCa 15 transition disk
Sant18,2018MNRAS.475.2994S,SantamariaMiranda:2018ij,Santamaría-Miranda et al. (2018),Accretion signatures in the X-shooter spectrum of the substellar companion to SR12
Sarr14,2014A&A...563A..45S,Sarro:2014ci,Sarro et al. (2014),Cluster membership probabilities from proper motions and multi-wavelength photometric catalogues. I. Method and application to the Pleiades cluster
Schi09,2009A&A...493L..27S,Schilbach:2009ja,Schilbach Röser & Scholz (2009),Trigonometric parallaxes of ten ultracool subdwarfs
Schl14,2014ApJ...783...27S,Schlieder:2014cm,Schlieder et al. (2014),Characterization of the Benchmark Binary NLTT 33370
Schm07,2007AJ....133.2258S,Schmidt:2007ig,Schmidt et al. (2007),"Activity and Kinematics of Ultracool Dwarfs, Including an Amazing Flare Observation"
Schm08b,2008A&A...491..311S,Schmidt:2008bf,Schmidt et al. (2008b),Direct evidence of a sub-stellar companion around CT Chamaeleontis
Schm10a,2010AJ....139.1045S,Schmidt:2010dz,Schmidt et al. (2010a),Discovery of an Unusually Blue L Dwarf Within 10 pc of the Sun
Schm10b,2010AJ....139.1808S,Schmidt:2010ex,Schmidt et al. (2010b),Colors and Kinematics of L Dwarfs from the Sloan Digital Sky Survey
Schm15,2015AJ....149..158S,Schmidt:2015hv,Schmidt et al. (2015),BOSS Ultracool Dwarfs. I. Colors and Magnetic Activity of M and L Dwarfs
Schn02,2002AJ....123..458S,Schneider:2002jp,Schneider et al. (2002),L Dwarfs Found in Sloan Digital Sky Survey Commissioning Data. II. Hobby-Eberly Telescope Observations
Schn11,2011ApJ...743..109S,Schneider:2011eq,Schneider et al. (2011),Hunting the Coolest Dwarfs: Methods and Early Results
Schn12a,2012ApJ...754...39S,Schneider:2012dq,Schneider Melis & Song (2012),TW HYA Association Membership and New WISE-detected Circumstellar Disks
Schn14,2014AJ....147...34S,Schneider:2014jd,Schneider et al. (2014),Discovery of the Young L Dwarf WISE J174102.78-464225.5
Schn15,2015ApJ...804...92S,Schneider:2015bx,Schneider et al. (2015),Hubble Space Telescope Spectroscopy of Brown Dwarfs Discovered with the Wide-field Infrared Survey Explorer
Schn16a,2016ApJ...817..112S,Schneider:2016bs,Schneider et al. (2016a),A Proper Motion Survey Using the First Sky Pass of NEOWISE-reactivation Data
Schn16b,2016ApJ...822L...1S,Schneider:2016iq,Schneider et al. (2016b),WISEA J114724.10-204021.3: A Free-floating Planetary Mass Member of the TW Hya Association
Schn16c,2016ApJ...823L..35S,Schneider:2016cx,Schneider et al. (2016c),The Collapse of the Wien Tail in the Coldest Brown Dwarf? Hubble Space Telescope Near-infrared Photometry of WISE J085510.83-071442.5
Schn17,2017AJ....153..196S,Schneider:2017ks,Schneider et al. (2017),"A 2MASS/AllWISE Search for Extremely Red L Dwarfs: The Discovery of Several Likely L Type Members of {ensuremath{beta}} Pic, AB Dor, Tuc-Hor, Argus, and the Hyades"
Schn91,1991AJ....102.1180S,Schneider:1991eb,Schneider et al. (1991),Spectroscopy of an Unusual Emission Line M Star
Scho00,2000A&A...353..958S,Scholz:2000vn,Scholz et al. (2000),New high-proper motion survey in the Southern sky
Scho01,2001A&A...374L..12S,Scholz:2001bf,Scholz Meusinger & Jahreiß (2001),Search for nearby stars among proper motion stars selected by optical-to-infrared photometry. I. Discovery of LHS 2090 at spectroscopic distance of d raisebox{-0.5ex}textasciitilde 6 pc
Scho02b,2002MNRAS.329..109S,Scholz:2002ef,Scholz et al. (2002b),New nearby stars among bright APM high proper motion stars
Scho02c,2002MNRAS.336L..49S,Scholz:2002by,Scholz & Meusinger (2002),SSSPM J0829-1309: a new nearby L dwarf detected in SuperCOSMOS Sky Surveys
Scho03,2003A&A...398L..29S,Scholz:2003go,Scholz et al. (2003),varepsilon  Indi B: A new benchmark T dwarf
Scho04b,2004A&A...425..519S,Scholz:2004bc,Scholz et al. (2004b),"The nearest cool white dwarf (d u03034 pc), the coolest M-type subdwarf (sdM9.5), and other high proper motion discoveries"
Scho04c,2004A&A...428L..25S,Scholz:2004fr,Scholz Lodieu & McCaughrean (2004),"SSSPM J1444-2019: An extremely high proper motion, ultracool subdwarf"
Scho05a,2005A&A...430L..49S,Scholz:2005fj,Scholz et al. (2005a),SSSPM J1102-3431: A probable new young brown dwarf member of the TW Hydrae Association
Scho08,2008A&A...487..595S,Scholz:2008ko,Scholz et al. (2008),An extremely wide and very low-mass pair with common proper motion. Is it representative of a nearby halo stream?
Scho09,2009A&A...494..949S,Scholz:2009fp,Scholz et al. (2009),Extremely faint high proper motion objects from SDSS stripe 82. Optical classification spectroscopy of about 40 new objects
Scho10a,2010A&A...510L...8S,Scholz:2010gm,Scholz (2010a),ULAS J141623.94+134836.3 - a faint common proper motion companion of a nearby L dwarf. Serendipitous discovery of a cool brown dwarf in UKIDSS DR6
Scho10b,2010A&A...515A..92S,Scholz:2010cy,Scholz (2010b),"Hip 63510C, Hip 73786B, and nine new isolated high proper motion T dwarf candidates from UKIDSS DR6 and SDSS DR7"
Scho11,2011A&A...532L...5S,Scholz:2011gs,Scholz et al. (2011),"Two very nearby (d raisebox{-0.5ex}textasciitilde 5 pc) ultracool brown dwarfs detected by their large proper motions from WISE, 2MASS, and SDSS data"
Scho12,2012A&A...541A.163S,Scholz:2012ek,Scholz et al. (2012),UKIDSS detections of cool brown dwarfs. Proper motions of 14 known &gt;T5 dwarfs and discovery of three new T5.5-T6 dwarfs
Scho14a,2014A&A...561A.113S,Scholz:2014hg,Scholz (2014),"Neighbours hiding in the Galactic plane, a new M/L dwarf candidate for the 8 pc sample"
Scho14b,2014A&A...567A..43S,Scholz:2014hk,Scholz Bihain & Storm (2014),WISEA J064750.85-154616.4: a new nearby L/T transition dwarf
Scho16,2016A&A...587A..51S,Scholz:2016vu,Scholz (2016),Overlooked wide companions of nearby F stars
Schr00,2000AJ....119..906S,Schroeder:2000ig,Schroeder et al. (2000),A Search for Faint Companions to Nearby Stars Using the Wide Field Planetary Camera 2
Schr96,1996PASP..108..510S,Schroeder:1996gq,Schroeder & Golimowski (1996),Searching for Faint Companions to Nearby Stars with the Hubble Space Telescope
Schw99,1999A&A...350L..62S,Schweitzer:1999wb,Schweitzer et al. (1999),APMPM J0559-2903: The coolest extreme subdwarf known
Seif05a,2005A&A...440..967S,Seifahrt:2005ju,Seifahrt Günther & Neuhäuser (2005),"The dM4.5e star G124-62 and its binary L dwarf companion DENIS-P J1441-0945. Common proper motion, distance, age, and masses"
Seif05b,2005AN....326..974S,Seifahrt:2005fz,Seifahrt et al. (2005),New brown dwarf companions to dM(e) stars
Seif10,2010A&A...512A..37S,Seifahrt:2010jd,Seifahrt et al. (2010),On the kinematic age of brown dwarfs: radial velocities and space motions of 43 nearby L dwarfs
Shep09a,2009AJ....137..304S,Sheppard:2009ed,Sheppard & Cushing (2009),"An Infrared High Proper Motion Survey Using the 2MASS and SDSS: Discovery of M, L, and T Dwarfs"
Shko09,2009ApJ...699..649S,Shkolnik:2009dx,Shkolnik Liu & Reid (2009),Identifying the Young Low-mass Stars within 25 pc. I. Spectroscopic Observations
Shko10,2010ApJ...716.1522S,Shkolnik:2010ba,Shkolnik et al. (2010),Thirty New Low-mass Spectroscopic Binaries
Shko11,2011ApJ...727....6S,Shkolnik:2011in,Shkolnik et al. (2011),Searching for Young M Dwarfs with GALEX
Shko12,2012ApJ...758...56S,Shkolnik:2012cs,Shkolnik et al. (2012),"Identifying the Young Low-mass Stars within 25 pc. II. Distances, Kinematics, and Group Membership"
Shko17,2017AJ....154...69S,Shkolnik:2017ex,Shkolnik et al. (2017),All-sky Co-moving Recovery Of Nearby Young Members (ACRONYM). II. The β Pictoris Moving Group
Sieg03,2003ApJ...598.1265S,Siegler:2003ki,Siegler et al. (2003),An Adaptive Optics Survey of M6.0-M7.5 Stars: Discovery of Three Very Low Mass Binary Systems Including Two Probable Hyades Members
Sieg05,2005ApJ...621.1023S,Siegler:2005is,Siegler et al. (2005),Discovery of Two Very Low Mass Binaries: Final Results of an Adaptive Optics Survey of Nearby M6.0-M7.5 Stars
Sieg07b,2007AJ....133.2320S,Siegler:2007ki,Siegler et al. (2007b),Discovery of a 66 mas Ultracool Binary with Laser Guide Star Adaptive Optics
Silv07,2007AJ....134..741S,Silvestri:2007bx,Silvestri et al. (2007),New Close Binary Systems from the SDSS-I (Data Release Five) and the Search for Magnetic White Dwarfs in Cataclysmic Variable Progenitor Systems
Simo06,2006ApJ...644.1183S,Simon:2006cc,Simon Bender & Prato (2006),The Gl569 Multiple System
Siva09,2009ApJ...694L.140S,Sivarani:2009bu,Sivarani et al. (2009),SDSS J125637-022452: A High Proper Motion L Subdwarf
Skem16a,2016ApJ...817..166S,Skemer:2016ha,Skemer et al. (2016a),"The LEECH Exoplanet Imaging Survey: Characterization of the Coldest Directly Imaged Exoplanet, GJ 504 b, and Evidence for Superstellar Metallicity"
Skru06,2006AJ....131.1163S,Skrutskie:2006hl,Skrutskie et al. (2006),The Two Micron All Sky Survey (2MASS)
Skru87a,1987ApJ...312L..55S,Skrutskie:1987jg,Skrutskie Forrest & Shure (1987a),Direct Infrared Imaging of VB 8
Skru87b,1987BAAS...19.1128S,Skrutskie:1987tb,Skrutskie Forrest & Shure (1987b),Discovery of an Extreme Low-mass Companion to Gleise 569
Skrz16,2016A&A...589A..49S,Skrzypek:2016ds,Skrzypek Warren & Faherty (2016),Photometric brown-dwarf classification. II. A homogeneous sample of 1361 L and T dwarfs brighter than J = 17.5 with accurate spectral types
Smar13,2013MNRAS.433.2054S,Smart:2013km,Smart et al. (2013),"NPARSEC: NTT Parallaxes of Southern Extremely Cool objects. Goals, targets, procedures and first results"
Smar18,2018MNRAS.481.3548S,Smart:2018en,Smart et al. (2018),Parallaxes of Southern Extremely Cool objects III: 118 L and T dwarfs
Smit14a,2014MNRAS.437.3603S,Smith:2014gw,Smith et al. (2014a),A 1500 deg$^{2}$ near infrared proper motion catalogue from the UKIDSS Large Area Survey
Smit14b,2014MNRAS.443.2327S,Smith:2014df,Smith et al. (2014b),High proper motion objects from the UKIDSS Galactic plane survey
Smit15,2015MNRAS.454.4476S,Smith:2015io,Smith et al. (2015),Discovery of a brown dwarf companion to the A3V star {ensuremath{beta}} Circini
Smit18,2018MNRAS.474.1826S,Smith:2018cz,Smith et al. (2018),VIRAC: the VVV Infrared Astrometric Catalogue
Sode99,1999A&A...341..121S,Soderhjelm:1999wc,Söderhjelm (1999),Visual binary orbits and masses POST HIPPARCOS
Song03,2003ApJ...599..342S,Song:2003hh,Song Zuckerman & Bessell (2003),"New Members of the TW Hydrae Association, {ensuremath{beta}} Pictoris Moving Group, and Tucana/Horologium Association"
Song06,2006ApJ...652..724S,Song:2006kz,Song et al. (2006),HST NICMOS Imaging of the Planetary-mass Companion to the Young Brown Dwarf 2MASSW J1207334-393254
Stan04,2004ApJ...607..704S,Stanway:2004kr,Stanway et al. (2004),Hubble Space Telescope Imaging and Keck Spectroscopy of z raisebox{-0.5ex}textasciitilde 6 i-Band Dropout Galaxies in the Advanced Camera for Surveys GOODS Fields
Stee09,2009A&A...500.1207S,Steele:2009jx,Steele et al. (2009),PHL 5038: a spatially resolved white dwarf + brown dwarf binary
Ster07,2007ApJ...663..677S,Stern:2007ge,Stern et al. (2007),Mid-Infrared Selection of Brown Dwarfs and High-Redshift Quasars
Ston16,2016ApJ...818L..12S,Stone:2016fz,Stone et al. (2016),Adaptive Optics imaging of VHS 1256-1257: A Low Mass Companion to a Brown Dwarf Binary System
Stra99,1999ApJ...522L..61S,Strauss:1999iw,Strauss et al. (1999),The Discovery of a Field Methane Dwarf from Sloan Digital Sky Survey Commissioning Data
Stum09,2009AIPC.1094..561S,Stumpf:2009gx,Stumpf et al. (2009),High-resolution AO monitoring of Kelu-1 AB
Stum10a,2010A&A...516A..37S,Stumpf:2010de,Stumpf et al. (2010a),2MASS J03105986 +1648155 AB - a new binary at the L/T transition
Stum10b,2010ApJ...724....1S,Stumpf:2010es,Stumpf et al. (2010b),The Search for Planetary Mass Companions to Field Brown Dwarfs with HST/NICMOS
Stum11,2011A&A...525A.123S,Stumpf:2011ie,Stumpf et al. (2011),Resolving the L/T transition binary SDSS J2052-1609 AB
Suba09,2009AJ....137.4547S,Subasavage:2009dj,Subasavage et al. (2009),The Solar Neighborhood. XXI. Parallax Results from the CTIOPI 0.9 m Program: 20 New Members of the 25 Parsec White Dwarf Sample
Tann12,2012ApJS..203...10T,Tanner:2012hg,Tanner et al. (2012),Keck NIRSPEC Radial Velocity Observations of Late-M Dwarfs
Teeg03,2003ApJ...589L..51T,Teegarden:2003bo,Teegarden et al. (2003),Discovery of a New Nearby Star
Teix00,2000A&A...361.1143T,Teixeira:2000wb,Teixeira et al. (2000),Proper motions of pre-main sequence stars { } in southern star-forming regions
Teix08,2008A&A...489..825T,Teixeira:2008ft,Teixeira et al. (2008),SSSPM J1102-3431 brown dwarf characterization from accurate proper motion and trigonometric parallax
Teix09,2009A&A...503..281T,Teixeira:2009kt,Teixeira et al. (2009),Kinematic analysis and membership status of TWA22 AB
Test09,2009A&A...503..639T,Testi:2009ei,Testi (2009),"A low-resolution near-infrared spectral library of M-, L-, and T-dwarfs"
Thac97,1997MNRAS.284..507T,Thackrah:1997wp,Thackrah Jones & Hawkins (1997),Lithium detection in a field brown dwarf candidate
Thal09,2009ApJ...707L.123T,Thalmann:2009ca,Thalmann et al. (2009),Discovery of the Coldest Imaged Companion of a Sun-like Star
Thal15,2015ApJ...808L..41T,Thalmann:2015cr,Thalmann et al. (2015),Optical Imaging Polarimetry of the LkCa 15 Protoplanetary Disk with SPHERE ZIMPOL
Thei16,2016AJ....151...41T,Theissen:2016gn,Theissen West & Dhital (2016),"Motion Verified Red Stars (MoVeRS): A Catalog of Proper Motion Selected Low-mass Stars from WISE, SDSS, and 2MASS"
Thei17a,2017AJ....153...92T,Theissen:2017df,Theissen et al. (2017),"The Late-Type Extension to MoVeRS (LaTE-MoVeRS): Proper Motion Verified Low-mass Stars and Brown Dwarfs from SDSS, 2MASS, and WISE"
Thei17b,2017AJ....153..165T,Theissen:2017eq,Theissen & West (2017),Collisions of Terrestrial Worlds: The Occurrence of Extreme Mid-infrared Excesses around Low-mass Field Stars
Thom13,2013PASP..125..809T,Thompson:2013kv,Thompson et al. (2013),"Nearby M, L, and T Dwarfs Discovered by the Wide-field Infrared Survey Explorer (WISE)"
Thor03,2003PASP..115.1207T,Thorstensen:2003hn,Thorstensen & Kirkpatrick (2003),Serendipitous Discovery and Parallax of a Nearby L Dwarf
Tinn03b,2003AJ....126..975T,Tinney:2003eg,Tinney Burgasser & Kirkpatrick (2003),Infrared Parallaxes for Methane T Dwarfs
Tinn05b,2005AJ....130.2326T,Tinney:2005hz,Tinney et al. (2005b),The 2MASS Wide-Field T Dwarf Search. IV. Hunting Out T Dwarfs with Methane Imaging
Tinn12,2012ApJ...759...60T,Tinney:2012dd,Tinney et al. (2012),WISE J163940.83-684738.6: A Y Dwarf Identified by Methane Imaging
Tinn14,2014ApJ...796...39T,Tinney:2014bl,Tinney et al. (2014),The Luminosities of the Coldest Brown Dwarfs
Tinn18,2018ApJS..236...28T,Tinney:2018gx,Tinney et al. (2018),New Y and T Dwarfs from WISE Identified by Methane Imaging
Tinn93a,1993AJ....105.1045T,Tinney:1993jm,Tinney Mould & Reid (1993),"The Faintest Stars: Infrared Photometry, Spectra, and Bolometric Magnitudes"
Tinn93b,1993AJ....105.1169T,Tinney:1993hq,Tinney (1993a),The Faintest Stars: Trigonometric CCD Parallaxes
Tinn93d,1993ApJ...414..279T,Tinney:1993dx,Tinney (1993b),The Faintest Stars: The Luminosity and Mass Functions at the Bottom of the Main Sequence
Tinn95c,1995AJ....110.3014T,Tinney:1995fp,Tinney et al. (1995),Trigonometric Parallaxes and the HR Diagram at the Bottom of the Main Sequence
Tinn96,1996MNRAS.281..644T,Tinney:1996vd,Tinney (1996),CCD astrometry of southern very low-mass stars
