code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
DayJ08,2008MNRAS.388..838D,DayJones:2008js,Day-Jones et al. (2008),Discovery of a widely separated ultracool dwarf-white dwarf binary
DayJ11,2011MNRAS.410..705D,DayJones:2011hm,Day-Jones et al. (2011),Discovery of a T dwarf + white dwarf binary system
DayJ13,2013MNRAS.430.1171D,DayJones:2013hm,Day-Jones et al. (2013),The sub-stellar birth rate from UKIDSS
Deac05a,2005AJ....129..409D,Deacon:2005hq,Deacon et al. (2005),The Solar Neighborhood. XI. The Trigonometric Parallax of SCR 1845-6357
Deac05b,2005A&A...435..363D,Deacon:2005jf,Deacon Hambly & Cooke (2005),Southern infrared proper motion survey. I. Discovery of new high proper motion stars from first full hemisphere scan
Deac07,2007A&A...468..163D,Deacon:2007jl,Deacon & Hambly (2007),Southern infrared proper motion survey. II. A sample of low mass stars with {ensuremath{mu}} {ensuremath{geq}} 0.1''/ yr
Deac09a,2009MNRAS.394..857D,Deacon:2009bb,Deacon et al. (2009a),The UKIDSS-2MASS proper motion survey - I. Ultracool dwarfs from UKIDSS DR4
Deac11,2011AJ....142...77D,Deacon:2011gz,Deacon et al. (2011),Four New T Dwarfs Identified in Pan-STARRS 1 Commissioning Data
Deac12a,2012ApJ...755...94D,Deacon:2012eg,Deacon et al. (2012a),HIP 38939B: A New Benchmark T Dwarf in the Galactic Plane Discovered with Pan-STARRS1
Deac12b,2012ApJ...757..100D,Deacon:2012gf,Deacon et al. (2012b),LHS 2803B: A Very Wide Mid-T Dwarf Companion to an Old M Dwarf Identified from Pan-STARRS1
Deac14b,2014ApJ...792..119D,Deacon:2014ey,Deacon et al. (2014b),Wide Cool and Ultracool Companions to Nearby Stars from Pan-STARRS 1
Deac16,2016MNRAS.457.3191D,Deacon:2016dg,Deacon Schlieder & Murphy (2016),"A nearby young M dwarf with a wide, possibly planetary-mass companion"
Deac17a,2017MNRAS.467.1126D,Deacon:2017kd,Deacon et al. (2017a),"2MASS 0213+3648 C: A wide T3 benchmark companion to an an active, old M dwarf binary"
Deac17b,2017MNRAS.468.3499D,Deacon:2017ja,Deacon et al. (2017b),Identification of partially resolved binaries in Pan-STARRS 1 data
Delf01,2001A&A...366L..13D,Delfosse:2001ik,Delfosse et al. (2001),"New neighbours: II. An M9 dwarf at d raisebox{-0.5ex}textasciitilde 4 pc, DENIS-P J104814.7-395606.1"
Delf97b,1997A&A...327L..25D,Delfosse:1997uj,Delfosse et al. (1997),Field brown dwarfs found by DENIS
Delf99b,1999A&AS..135...41D,Delfosse:1999bx,Delfosse et al. (1999b),Searching for very low-mass stars and brown dwarfs with DENIS
Delo08a,2008A&A...482..961D,Delorme:2008jd,Delorme et al. (2008a),CFBDS J005910.90-011401.3: reaching the T-Y brown dwarf transition?
Delo08b,2008A&A...484..469D,Delorme:2008dl,Delorme et al. (2008b),Finding ultracool brown dwarfs with MegaCam on CFHT: method and first results
Delo10,2010A&A...518A..39D,Delorme:2010br,Delorme et al. (2010),Extending the Canada-France brown dwarfs survey to the near-infrared: first ultracool brown dwarfs from CFBDSIR
Delo12b,2012A&A...548A..26D,Delorme:2012gv,Delorme et al. (2012b),CFBDSIR2149-0403: a 4-7 Jupiter-mass free-floating planet in the young moving group AB Doradus?
Delo13,2013A&A...553L...5D,Delorme:2013bo,Delorme et al. (2013),Direct-imaging discovery of a 12-14 Jupiter-mass object orbiting a young binary system of very low-mass stars
Delo17,2017A&A...602A..82D,Delorme:2017uc,Delorme et al. (2017),CFBDSIR 2149-0403: young isolated planetary-mass object or high-metallicity low-mass brown dwarf?
DeRo14b,2014MNRAS.445.3694D,DeRosa:2014bu,De Rosa et al. (2014b),The VAST Survey - IV. A wide brown dwarf companion to the A3V star {ensuremath{zeta}} Delphini
DeRo16,2016ApJ...824..121D,DeRosa:2016kh,De Rosa et al. (2016),Spectroscopic Characterization of HD 95086 b with the Gemini Planet Imager
DeRo19,2019AJ....157..125D,DeRosa:2019ie,De Rosa et al. (2019),A Near-coplanar Stellar Flyby of the Planet Host Star HD 106906
Desh12,2012AJ....144...99D,Deshpande:2012hw,Deshpande et al. (2012),Intermediate Resolution Near-infrared Spectroscopy of 36 Late M Dwarfs
deZe99,1999AJ....117..354D,deZeeuw:1999fe,de Zeeuw et al. (1999),A HIPPARCOS Census of the Nearby OB Associations
Dhit11,2011AJ....141....7D,Dhital:2011jb,Dhital et al. (2011),Resolved Spectroscopy of M Dwarf/L Dwarf Binaries. IV. Discovery of AN M9 + L6 Binary Separated by Over 100 AU
Diaz13,2013A&A...551L...9D,Diaz:2013iv,Diaz et al. (2013),SOPHIE velocimetry of Kepler transit candidates. VIII. KOI-205 b: a brown-dwarf companion to a K-type dwarf
