name,ra_j2000_formula,dec_j2000_formula,identifiers_simbad
2MASS J00282091+2249050,7.0875,22.8178,2MASS J00282091+2249050|TIC 411549897|WISEA J002821.44+224859.3|Gaia DR2 2800081221135505536|Gaia DR3 2800081221135505536
ULAS J002827.56+142349.1,7.1146,14.3973,BRLT 8|ULAS J002827.56+142349.1
2MASSI J0028394+150141,7.1643,15.0282,2MASS J00283943+1501418|2MASSI J0028394+150141|2MASSW J0028394+150141|SDSS J002839.43+150141.5|TIC 336765065|ULAS J002839.52+150141.5|WISEA J002839.56+150141.5|WISE J002839.56+150141.6
2MASS J00285545-1927165,7.2310,-19.4546,2MASS J00285545-1927165|SDSS J002855.49-192716.3|TIC 336769795|Gaia DR2 2363496283669200768|Gaia DR3 2363496283669200768
ULAS J002912.25+145604.9,7.3011,14.9347,BRLT 9|ULAS J002912.25+145604.9
DENIS-P J003006.2-373948,7.5260,-37.6634,2MASS J00300625-3739483|DENIS J003006.2-373948|TIC 116158414|[DPN2008] UCDc-1|Gaia DR2 5003799387043532288|Gaia DR3 5003799387043532288
HIP 2397B,7.6033,22.7469,2MASS J00302476+2244492|TIC 242605955|Gaia DR2 2800023565494388480|Gaia DR3 2800023565494388480
2MASSW J0030300-145033,7.6256,-14.8427,2MASS J00303013-1450333|2MASSI J0030300-145033|2MASSW J0030300-145033|TIC 423638385|V* GO Cet|WISEA J003030.30-145033.7|WISE J003030.29-145033.4|[B2006] J003030.0-145033
2MASSW J0030438+313932,7.6827,31.6589,2MASSW J0030438+313932|2MASS J00304384+3139321|TIC 44558028|WISEP J003043.78+313931.8|Gaia DR2 2859617950419161600|Gaia DR3 2859617950419161600
WISE J003110.04+574936.3,7.7892,57.8268,2MASS J00310928+5749364|PSO J007.7921+57.8267|TIC 320377477|WISE J003110.04+574936.3
