# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
ULAS J012855.07+063357.0,missing proper motion values
ULAS J012855.07+063357.0 W1,only upper error
ULAS J012855.07+063357.0 W2,only upper error
ULAS J012855.07+063357.0 W3,only upper error
ULAS J012855.07+063357.0 W4,only upper error
ULAS J012906.88+011350.4 W3,only upper error
ULAS J012906.88+011350.4 W4,only upper error
2MASSW J0129122+351758 W4,only upper error
WISEA J013012.66-104732.4 W3,only upper error
WISEA J013012.66-104732.4 W4,only upper error
ULAS J013017.79+080453.9 W3,only upper error
ULAS J013017.79+080453.9 W4,only upper error
2MASS J01303563-4445411 W4,only upper error
ULAS J013117.53-003128.6 W3,only upper error
ULAS J013117.53-003128.6 W4,only upper error
2MASS J01311838+3801554 W4,only upper error
WISEA J013217.78-581825.9 W3,only upper error
WISEA J013217.78-581825.9 W4,only upper error
ULAS J013243.81+055232.2 W4,only upper error
CFBDS J013302.27+023128.4 W3,only upper error
CFBDS J013302.27+023128.4 W4,only upper error
SSSPM J0134-6315 W3,only upper error
SSSPM J0134-6315 W4,only upper error
ULAS J013346.25+132822.4 W3,only upper error
ULAS J013346.25+132822.4 W4,only upper error
2MASS J01340281+0508125 W3,only upper error
2MASS J01340281+0508125 W4,only upper error
2MASS J01344601-5707564 W4,only upper error
LHS 1265 W3,only upper error
LHS 1265 W4,only upper error
WISEU J013522.46-221957.3,missing wise designation name
WISEU J013522.46-221957.3 W1,only upper error
WISEU J013522.46-221957.3 W3,only upper error
WISEU J013522.46-221957.3 W4,only upper error
PSO J023.8557+02.0884 W3,only upper error
PSO J023.8557+02.0884 W4,only upper error
WISE J013525.64+171503.4 W3,only upper error
WISE J013525.64+171503.4 W4,only upper error
2MASSW J0135358+120522 W4,only upper error
ULAS J013619.79+071737.9 W3,only upper error
ULAS J013619.79+071737.9 W4,only upper error
PSO J024.4369+09.1360 W3,only upper error
PSO J024.4369+09.1360 W4,only upper error
ULAS J013807.67-010417.0 W3,only upper error
ULAS J013807.67-010417.0 W4,only upper error
WISEA J013810.78-412220.2 W3,only upper error
WISEA J013810.78-412220.2 W4,only upper error
WISEPC J013836.59-032221.2 W4,only upper error
L 726-8,missing proper motion values
ULAS J013950.51+150307.6 W3,only upper error
ULAS J013950.51+150307.6 W4,only upper error
2MASSW J0141032+180450 W4,only upper error
2MASS J01411479-2417311 W4,only upper error
2MASS J01414839-1601196 W3,only upper error
2MASS J01414839-1601196 W4,only upper error
2MASS J01415823-4633574 W4,only upper error
2MASS J01423153+0523285 W3,only upper error
2MASS J01423153+0523285 W4,only upper error
2MASS J01443536-0716142 W4,only upper error
ULAS J014443.27+014741.0 W3,only upper error
ULAS J014443.27+014741.0 W4,only upper error
2MASS J01460119-4545263 W4,only upper error
WISEA J014603.23-261908.7 W1,only upper error
2MASS J01463192+0641153 W4,only upper error
WISE J014656.66+423410.0 W4,only upper error
SDSS J014658.14+002132.7 W3,only upper error
SDSS J014658.14+002132.7 W4,only upper error
2MASS J01472702+4731142 W4,only upper error
2MASS J01473282-4954478 W4,only upper error
2MASSW J0147334+345311 W4,only upper error
WISEPC J014807.25-720258.7 W3,only upper error
WISEPC J014807.25-720258.7 W4,only upper error
ULAS J014811.69+140028.4 W3,only upper error
ULAS J014811.69+140028.4 W4,only upper error
CWISE J014837.51-104805.6 W4,only upper error
2MASS J01483864-3024396 W4,only upper error
2MASSW J0149090+295613 W4,only upper error
ULAS J014927.09+144108.2 W3,only upper error
ULAS J014927.09+144108.2 W4,only upper error
SDSS J014956.27+001647.8 W3,only upper error
SDSS J014956.27+001647.8 W4,only upper error
WISEPA J015010.86+382724.3 W4,only upper error
ULAS J015024.37+135924.0 W3,only upper error
ULAS J015024.37+135924.0 W4,only upper error
ULAS J015034.33+142002.4 W3,only upper error
ULAS J015034.33+142002.4 W4,only upper error
SDSS J015141.69+124429.6 W4,only upper error
ULAS J015144.10+134645.8 W3,only upper error
ULAS J015144.10+134645.8 W4,only upper error
GSC 08047-00232B,missing wise designation name
GSC 08047-00232B,missing proper motion values
GSC 08047-00232B W1,only upper error
GSC 08047-00232B W2,only upper error
GSC 08047-00232B W3,only upper error
GSC 08047-00232B W4,only upper error
PSO J028.0715-15.5717 W3,only upper error
PSO J028.0715-15.5717 W4,only upper error
2MASS J01531463-6744181 W4,only upper error
SDSS J015354.23+140452.9 W4,only upper error
GD 280B W3,only upper error
GD 280B W4,only upper error
2MASS J01550354+0950003 W4,only upper error
WISEA J015507.35-421635.7 W3,only upper error
WISEA J015507.35-421635.7 W4,only upper error
WISEA J015812.03+323157.9 W3,only upper error
WISEA J015812.03+323157.9 W4,only upper error
HIP 9269B,missing wise designation name
HIP 9269B,missing proper motion values
HIP 9269B W1,only upper error
HIP 9269B W2,only upper error
HIP 9269B W3,only upper error
HIP 9269B W4,only upper error
ULAS J020002.96+065808.2 W3,only upper error
ULAS J020002.96+065808.2 W4,only upper error
ULAS J020047.44+133755.1 W3,only upper error
ULAS J020047.44+133755.1 W4,only upper error
WISEA J020110.68-523916.9 W4,only upper error
WISEA J020201.25-313645.2,missing proper motion values
WISEA J020201.25-313645.2 W3,only upper error
